pools: 3589 deals to solve (POOL=40/viewer, 5374 kept total)
[pools] 2730/3589  603s  eta 3.2m  (271.7/min)  
[pools] 2740/3589  604s  eta 3.1m  (272.0/min)  
[pools] 2750/3589  607s  eta 3.1m  (271.9/min)  
[pools] 2760/3589  609s  eta 3.0m  (272.0/min)  
[pools] 2770/3589  611s  eta 3.0m  (272.1/min)  
[pools] 2780/3589  613s  eta 3.0m  (272.0/min)  
[pools] 2790/3589  615s  eta 2.9m  (272.1/min)  
[pools] 2800/3589  617s  eta 2.9m  (272.2/min)  
[pools] 2810/3589  619s  eta 2.9m  (272.3/min)  
[pools] 2820/3589  622s  eta 2.8m  (272.1/min)  
[pools] 2830/3589  624s  eta 2.8m  (272.0/min)  
[pools] 2840/3589  626s  eta 2.8m  (272.1/min)  
[pools] 2850/3589  628s  eta 2.7m  (272.2/min)  
[pools] 2860/3589  631s  eta 2.7m  (272.2/min)  
[pools] 2870/3589  633s  eta 2.6m  (272.1/min)  
[pools] 2880/3589  635s  eta 2.6m  (272.3/min)  
[pools] 2890/3589  637s  eta 2.6m  (272.2/min)  
[pools] 2900/3589  639s  eta 2.5m  (272.2/min)  
[pools] 2910/3589  641s  eta 2.5m  (272.3/min)  
[pools] 2920/3589  643s  eta 2.5m  (272.4/min)  
[pools] 2930/3589  645s  eta 2.4m  (272.4/min)  
[pools] 2940/3589  647s  eta 2.4m  (272.6/min)  
[pools] 2950/3589  650s  eta 2.3m  (272.5/min)  
[pools] 2960/3589  652s  eta 2.3m  (272.5/min)  
[pools] 2970/3589  654s  eta 2.3m  (272.4/min)  
[pools] 2980/3589  656s  eta 2.2m  (272.4/min)  
[pools] 2990/3589  659s  eta 2.2m  (272.4/min)  
[pools] 3000/3589  661s  eta 2.2m  (272.4/min)  
[pools] 3010/3589  663s  eta 2.1m  (272.3/min)  
[pools] 3020/3589  665s  eta 2.1m  (272.4/min)  
[pools] 3030/3589  668s  eta 2.1m  (272.3/min)  
[pools] 3040/3589  670s  eta 2.0m  (272.4/min)  
[pools] 3050/3589  672s  eta 2.0m  (272.5/min)  
[pools] 3060/3589  674s  eta 1.9m  (272.4/min)  
[pools] 3070/3589  676s  eta 1.9m  (272.3/min)  
[pools] 3080/3589  678s  eta 1.9m  (272.4/min)  
[pools] 3090/3589  681s  eta 1.8m  (272.3/min)  
[pools] 3100/3589  682s  eta 1.8m  (272.5/min)  
[pools] 3110/3589  685s  eta 1.8m  (272.4/min)  
[pools] 3120/3589  687s  eta 1.7m  (272.5/min)  
[pools] 3130/3589  690s  eta 1.7m  (272.3/min)  
[pools] 3140/3589  692s  eta 1.6m  (272.4/min)  
[pools] 3150/3589  693s  eta 1.6m  (272.6/min)  
[pools] 3160/3589  696s  eta 1.6m  (272.6/min)  
[pools] 3170/3589  698s  eta 1.5m  (272.5/min)  
[pools] 3180/3589  700s  eta 1.5m  (272.6/min)  
[pools] 3190/3589  702s  eta 1.5m  (272.7/min)  
[pools] 3200/3589  704s  eta 1.4m  (272.6/min)  
[pools] 3210/3589  707s  eta 1.4m  (272.6/min)  
[pools] 3220/3589  708s  eta 1.4m  (272.7/min)  
[pools] 3230/3589  711s  eta 1.3m  (272.5/min)  
[pools] 3240/3589  714s  eta 1.3m  (272.4/min)  
[pools] 3250/3589  716s  eta 1.2m  (272.2/min)  
[pools] 3260/3589  719s  eta 1.2m  (272.1/min)  
[pools] 3270/3589  721s  eta 1.2m  (272.1/min)  
[pools] 3280/3589  723s  eta 1.1m  (272.1/min)  
[pools] 3290/3589  725s  eta 1.1m  (272.2/min)  
[pools] 3300/3589  727s  eta 1.1m  (272.3/min)  
[pools] 3310/3589  729s  eta 1.0m  (272.2/min)  
[pools] 3320/3589  732s  eta 1.0m  (272.1/min)  
[pools] 3330/3589  735s  eta 1.0m  (272.0/min)  
[pools] 3340/3589  737s  eta 0.9m  (272.0/min)  
[pools] 3350/3589  739s  eta 0.9m  (272.1/min)  
[pools] 3360/3589  741s  eta 0.8m  (272.0/min)  
[pools] 3370/3589  744s  eta 0.8m  (271.9/min)  
[pools] 3380/3589  746s  eta 0.8m  (272.0/min)  
[pools] 3390/3589  747s  eta 0.7m  (272.1/min)  
[pools] 3400/3589  750s  eta 0.7m  (272.0/min)  
[pools] 3410/3589  752s  eta 0.7m  (272.2/min)  
[pools] 3420/3589  755s  eta 0.6m  (271.9/min)  
[pools] 3430/3589  756s  eta 0.6m  (272.2/min)  
[pools] 3440/3589  759s  eta 0.5m  (272.0/min)  
[pools] 3450/3589  761s  eta 0.5m  (272.0/min)  
[pools] 3460/3589  763s  eta 0.5m  (272.0/min)  
[pools] 3470/3589  765s  eta 0.4m  (272.0/min)  
[pools] 3480/3589  768s  eta 0.4m  (271.9/min)  
[pools] 3490/3589  770s  eta 0.4m  (271.9/min)  
[pools] 3500/3589  772s  eta 0.3m  (272.0/min)  
[pools] 3510/3589  774s  eta 0.3m  (272.0/min)  
[pools] 3520/3589  777s  eta 0.3m  (271.9/min)  
[pools] 3530/3589  779s  eta 0.2m  (272.0/min)  
[pools] 3540/3589  781s  eta 0.2m  (272.0/min)  
[pools] 3550/3589  783s  eta 0.1m  (271.9/min)  
[pools] 3560/3589  786s  eta 0.1m  (271.9/min)  
[pools] 3570/3589  788s  eta 0.1m  (272.0/min)  
[pools] 3580/3589  789s  eta 0.0m  (272.1/min)  
pools done
