pools: 8000 deals (8000 kept), POOL=24/unit/viewer
[pools] 4120/8000 221s eta 3.5m (1118/min) 
[pools] 4140/8000 222s eta 3.5m (1118/min) 
[pools] 4160/8000 224s eta 3.5m (1113/min) 
[pools] 4180/8000 225s eta 3.4m (1114/min) 
[pools] 4200/8000 227s eta 3.4m (1112/min) 
[pools] 4220/8000 228s eta 3.4m (1109/min) 
[pools] 4240/8000 230s eta 3.4m (1107/min) 
[pools] 4260/8000 231s eta 3.4m (1107/min) 
[pools] 4280/8000 232s eta 3.4m (1107/min) 
[pools] 4300/8000 233s eta 3.3m (1108/min) 
[pools] 4320/8000 234s eta 3.3m (1109/min) 
[pools] 4340/8000 235s eta 3.3m (1108/min) 
[pools] 4360/8000 236s eta 3.3m (1106/min) 
[pools] 4380/8000 237s eta 3.3m (1107/min) 
[pools] 4400/8000 238s eta 3.2m (1108/min) 
[pools] 4420/8000 239s eta 3.2m (1108/min) 
[pools] 4440/8000 240s eta 3.2m (1109/min) 
[pools] 4460/8000 241s eta 3.2m (1110/min) 
[pools] 4480/8000 242s eta 3.2m (1110/min) 
[pools] 4500/8000 243s eta 3.2m (1110/min) 
[pools] 4520/8000 244s eta 3.1m (1110/min) 
[pools] 4540/8000 245s eta 3.1m (1110/min) 
[pools] 4560/8000 247s eta 3.1m (1107/min) 
[pools] 4580/8000 248s eta 3.1m (1108/min) 
[pools] 4600/8000 249s eta 3.1m (1109/min) 
[pools] 4620/8000 250s eta 3.0m (1109/min) 
[pools] 4640/8000 252s eta 3.0m (1107/min) 
[pools] 4660/8000 254s eta 3.0m (1101/min) 
[pools] 4680/8000 255s eta 3.0m (1101/min) 
[pools] 4700/8000 257s eta 3.0m (1099/min) 
[pools] 4720/8000 258s eta 3.0m (1099/min) 
[pools] 4740/8000 259s eta 3.0m (1096/min) 
[pools] 4760/8000 260s eta 3.0m (1097/min) 
[pools] 4780/8000 261s eta 2.9m (1097/min) 
[pools] 4800/8000 263s eta 2.9m (1097/min) 
[pools] 4820/8000 264s eta 2.9m (1097/min) 
[pools] 4840/8000 264s eta 2.9m (1099/min) 
[pools] 4860/8000 265s eta 2.9m (1099/min) 
[pools] 4880/8000 266s eta 2.8m (1099/min) 
[pools] 4900/8000 268s eta 2.8m (1097/min) 
[pools] 4920/8000 269s eta 2.8m (1098/min) 
[pools] 4940/8000 270s eta 2.8m (1098/min) 
[pools] 4960/8000 271s eta 2.8m (1100/min) 
[pools] 4980/8000 272s eta 2.7m (1099/min) 
[pools] 5000/8000 273s eta 2.7m (1100/min) 
[pools] 5020/8000 273s eta 2.7m (1102/min) 
[pools] 5040/8000 274s eta 2.7m (1103/min) 
[pools] 5060/8000 276s eta 2.7m (1102/min) 
[pools] 5080/8000 276s eta 2.6m (1103/min) 
[pools] 5100/8000 277s eta 2.6m (1103/min) 
[pools] 5120/8000 279s eta 2.6m (1101/min) 
[pools] 5140/8000 281s eta 2.6m (1099/min) 
[pools] 5160/8000 282s eta 2.6m (1098/min) 
[pools] 5180/8000 283s eta 2.6m (1098/min) 
[pools] 5200/8000 285s eta 2.6m (1096/min) 
[pools] 5220/8000 285s eta 2.5m (1097/min) 
[pools] 5240/8000 286s eta 2.5m (1099/min) 
[pools] 5260/8000 287s eta 2.5m (1100/min) 
[pools] 5280/8000 288s eta 2.5m (1099/min) 
[pools] 5300/8000 290s eta 2.5m (1098/min) 
[pools] 5320/8000 290s eta 2.4m (1100/min) 
[pools] 5340/8000 291s eta 2.4m (1100/min) 
[pools] 5360/8000 292s eta 2.4m (1101/min) 
[pools] 5380/8000 293s eta 2.4m (1101/min) 
[pools] 5400/8000 294s eta 2.4m (1100/min) 
[pools] 5420/8000 295s eta 2.3m (1101/min) 
[pools] 5440/8000 297s eta 2.3m (1100/min) 
[pools] 5460/8000 298s eta 2.3m (1099/min) 
[pools] 5480/8000 299s eta 2.3m (1099/min) 
[pools] 5500/8000 300s eta 2.3m (1099/min) 
[pools] 5520/8000 302s eta 2.3m (1098/min) 
[pools] 5540/8000 303s eta 2.2m (1097/min) 
[pools] 5560/8000 304s eta 2.2m (1098/min) 
[pools] 5580/8000 305s eta 2.2m (1098/min) 
[pools] 5600/8000 306s eta 2.2m (1099/min) 
[pools] 5620/8000 307s eta 2.2m (1100/min) 
[pools] 5640/8000 308s eta 2.1m (1100/min) 
[pools] 5660/8000 308s eta 2.1m (1101/min) 
[pools] 5680/8000 309s eta 2.1m (1102/min) 
[pools] 5700/8000 311s eta 2.1m (1101/min) 
[pools] 5720/8000 311s eta 2.1m (1102/min) 
[pools] 5740/8000 312s eta 2.1m (1102/min) 
[pools] 5760/8000 314s eta 2.0m (1102/min) 
[pools] 5780/8000 315s eta 2.0m (1102/min) 
[pools] 5800/8000 316s eta 2.0m (1102/min) 
[pools] 5820/8000 317s eta 2.0m (1103/min) 
[pools] 5840/8000 317s eta 2.0m (1105/min) 
[pools] 5860/8000 318s eta 1.9m (1105/min) 
[pools] 5880/8000 319s eta 1.9m (1106/min) 
[pools] 5900/8000 321s eta 1.9m (1104/min) 
[pools] 5920/8000 322s eta 1.9m (1104/min) 
[pools] 5940/8000 323s eta 1.9m (1104/min) 
[pools] 5960/8000 324s eta 1.8m (1104/min) 
[pools] 5980/8000 326s eta 1.8m (1102/min) 
[pools] 6000/8000 327s eta 1.8m (1101/min) 
[pools] 6020/8000 328s eta 1.8m (1101/min) 
[pools] 6040/8000 329s eta 1.8m (1101/min) 
[pools] 6060/8000 330s eta 1.8m (1101/min) 
[pools] 6080/8000 332s eta 1.7m (1100/min) 
[pools] 6100/8000 333s eta 1.7m (1100/min) 
[pools] 6120/8000 335s eta 1.7m (1095/min) 
[pools] 6140/8000 337s eta 1.7m (1093/min) 
[pools] 6160/8000 338s eta 1.7m (1093/min) 
[pools] 6180/8000 339s eta 1.7m (1093/min) 
[pools] 6200/8000 340s eta 1.6m (1093/min) 
[pools] 6220/8000 342s eta 1.6m (1092/min) 
[pools] 6240/8000 343s eta 1.6m (1092/min) 
[pools] 6260/8000 344s eta 1.6m (1091/min) 
[pools] 6280/8000 346s eta 1.6m (1091/min) 
[pools] 6300/8000 347s eta 1.6m (1090/min) 
[pools] 6320/8000 348s eta 1.5m (1090/min) 
[pools] 6340/8000 349s eta 1.5m (1090/min) 
[pools] 6360/8000 350s eta 1.5m (1091/min) 
[pools] 6380/8000 351s eta 1.5m (1091/min) 
[pools] 6400/8000 352s eta 1.5m (1091/min) 
[pools] 6420/8000 353s eta 1.4m (1091/min) 
[pools] 6440/8000 354s eta 1.4m (1090/min) 
[pools] 6460/8000 356s eta 1.4m (1090/min) 
[pools] 6480/8000 357s eta 1.4m (1090/min) 
[pools] 6500/8000 358s eta 1.4m (1089/min) 
[pools] 6520/8000 360s eta 1.4m (1087/min) 
[pools] 6540/8000 362s eta 1.3m (1084/min) 
[pools] 6560/8000 363s eta 1.3m (1083/min) 
[pools] 6580/8000 364s eta 1.3m (1083/min) 
[pools] 6600/8000 365s eta 1.3m (1084/min) 
[pools] 6620/8000 367s eta 1.3m (1084/min) 
[pools] 6640/8000 368s eta 1.3m (1083/min) 
[pools] 6660/8000 370s eta 1.2m (1081/min) 
[pools] 6680/8000 371s eta 1.2m (1081/min) 
[pools] 6700/8000 372s eta 1.2m (1081/min) 
[pools] 6720/8000 373s eta 1.2m (1082/min) 
[pools] 6740/8000 375s eta 1.2m (1080/min) 
[pools] 6760/8000 376s eta 1.2m (1078/min) 
[pools] 6780/8000 377s eta 1.1m (1078/min) 
[pools] 6800/8000 379s eta 1.1m (1077/min) 
[pools] 6820/8000 380s eta 1.1m (1077/min) 
[pools] 6840/8000 381s eta 1.1m (1077/min) 
[pools] 6860/8000 382s eta 1.1m (1078/min) 
[pools] 6880/8000 383s eta 1.0m (1078/min) 
[pools] 6900/8000 384s eta 1.0m (1078/min) 
[pools] 6920/8000 385s eta 1.0m (1078/min) 
[pools] 6940/8000 386s eta 1.0m (1079/min) 
[pools] 6960/8000 387s eta 1.0m (1078/min) 
[pools] 6980/8000 388s eta 0.9m (1079/min) 
[pools] 7000/8000 390s eta 0.9m (1077/min) 
[pools] 7020/8000 391s eta 0.9m (1076/min) 
[pools] 7040/8000 392s eta 0.9m (1077/min) 
[pools] 7060/8000 393s eta 0.9m (1077/min) 
[pools] 7080/8000 394s eta 0.9m (1077/min) 
[pools] 7100/8000 395s eta 0.8m (1078/min) 
[pools] 7120/8000 396s eta 0.8m (1079/min) 
[pools] 7140/8000 397s eta 0.8m (1078/min) 
[pools] 7160/8000 398s eta 0.8m (1078/min) 
[pools] 7180/8000 400s eta 0.8m (1078/min) 
[pools] 7200/8000 401s eta 0.7m (1078/min) 
[pools] 7220/8000 402s eta 0.7m (1078/min) 
[pools] 7240/8000 403s eta 0.7m (1079/min) 
[pools] 7260/8000 404s eta 0.7m (1079/min) 
[pools] 7280/8000 405s eta 0.7m (1079/min) 
[pools] 7300/8000 406s eta 0.6m (1079/min) 
[pools] 7320/8000 407s eta 0.6m (1078/min) 
[pools] 7340/8000 409s eta 0.6m (1078/min) 
[pools] 7360/8000 409s eta 0.6m (1079/min) 
[pools] 7380/8000 410s eta 0.6m (1079/min) 
[pools] 7400/8000 411s eta 0.6m (1080/min) 
[pools] 7420/8000 413s eta 0.5m (1079/min) 
[pools] 7440/8000 413s eta 0.5m (1080/min) 
[pools] 7460/8000 415s eta 0.5m (1079/min) 
[pools] 7480/8000 417s eta 0.5m (1077/min) 
[pools] 7500/8000 417s eta 0.5m (1078/min) 
[pools] 7520/8000 418s eta 0.4m (1079/min) 
[pools] 7540/8000 419s eta 0.4m (1079/min) 
[pools] 7560/8000 420s eta 0.4m (1080/min) 
[pools] 7580/8000 422s eta 0.4m (1079/min) 
[pools] 7600/8000 422s eta 0.4m (1079/min) 
[pools] 7620/8000 424s eta 0.4m (1079/min) 
[pools] 7640/8000 425s eta 0.3m (1079/min) 
[pools] 7660/8000 426s eta 0.3m (1078/min) 
[pools] 7680/8000 428s eta 0.3m (1077/min) 
[pools] 7700/8000 428s eta 0.3m (1078/min) 
[pools] 7720/8000 430s eta 0.3m (1078/min) 
[pools] 7740/8000 431s eta 0.2m (1079/min) 
[pools] 7760/8000 432s eta 0.2m (1079/min) 
[pools] 7780/8000 433s eta 0.2m (1078/min) 
[pools] 7800/8000 434s eta 0.2m (1078/min) 
[pools] 7820/8000 436s eta 0.2m (1076/min) 
[pools] 7840/8000 437s eta 0.1m (1076/min) 
[pools] 7860/8000 438s eta 0.1m (1076/min) 
[pools] 7880/8000 439s eta 0.1m (1077/min) 
[pools] 7900/8000 440s eta 0.1m (1077/min) 
[pools] 7920/8000 441s eta 0.1m (1078/min) 
[pools] 7940/8000 442s eta 0.1m (1078/min) 
[pools] 7960/8000 442s eta 0.0m (1079/min) 
[pools] 7980/8000 443s eta 0.0m (1081/min) 
[pools] 8000/8000 449s eta 0.0m (1069/min) 
pools done
